,CollegeName,TotalRegistrations
1,ANUG - ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),997
2,CMRK - C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),575
3,JNTH - JNTU COLLEGE OF ENGG HYDERABAD,550
4,VMEG - VARDHAMAN COLLEGE OF ENGINEERING,536
5,VJEC - V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,458
6,MLID - M L R INSTITUTE OF TECHNOLOGY,456
7,COLLEGE,412
8,MVSR - M V S R ENGINEERING COLLEGE (AUTONOMOUS),368
9,SNIS - SREENIDHI INSTITUTE OF SCI AND TECHNOLOGY,357
10,BVRW - BVRIT COLLEGE OF ENGINEERING FOR WOMEN,328
11,VJIT - VIDYAJYOTHI INSTITUTE OF TECHNOLOGY,299
12,GCTC - GEETHANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),256
13,CBIT - CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,249
14,STLW - STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),224
15,GRRR - GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,224
16,IARE - INSTITUTE OF AERONAUTICAL ENGINEERING,202
17,MLRD - MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),189
18,RITW - RISHI MS INST OF ENGG AND TECH FOR WOMEN,169
19,CMRG - CMR TECHNICAL CAMPUS (AUTONOMOUS),158
20,MGIT - MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,144
21,MECS - MATRUSRI ENGINEERING COLLEGE,137
22,GITAM,131
23,VGWL - VAGDEVI ENGINEERING COLLEGE,129
24,PALV - PALLAVI ENGINEERING COLLEGE,128
25,KPRT - KOMMURI PRATAP REDDY INST OF TECHNOLOGY,128
26,MRCW - MALLA REDDY ENGG COLLEGE FOR WOMEN (AUTONOMOUS),123
27,GNTW - G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,121
28,MRCE - MALLA REDDY COLLEGE OF ENGINEERING,118
29,BVRI - B V RAJU INSTITUTE OF TECHNOLOGY,114
30,VASV - VASAVI COLLEGE OF ENGINEERING,108
31,NRCM - NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),106
32,VIGNANA BHARATHI INSTITUTE OF TECHNOLOGY,105
33,MLRS - MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),104
34,NREC - NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),98
35,NNRG - NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS,97
36,OUCE - O U COLLEGE OF ENGG HYDERABAD,94
37,SPEC - ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),94
38,ACEG - A C E ENGINEERING COLLEGE (AUTONOMOUS),91
39,SDEW - SRIDEVI WOMENS ENGINEERING COLLEGE,89
40,ICFAI,79
41,SRYS - SREYAS INST OF ENGG AND TECHNOLOGY,78
42,JBIT - J B INSTITUTE OF ENGG AND TECHNOLOGY,77
43,JAYA - JAYAMUKHI INSTITUTE OF TECHNOLOGY AND SCIS,75
44,VBIT - VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),75
45,TKEM - TEEGALA KRISHNA REDDY ENGINEERING COLLEGE (AUTONOMOUS),72
46,JNTR - JNTU COLLEGE OF ENGINEERING RAJANNA SIRCILLA,69
47,VGNT - VIGNAN INSTITUTE OF TECHNOLOGY AND SCI,68
48,GD GOENKA UNIVERSITY,68
49,RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,63
50,KMIT - KESHAV MEMORIAL INST OF TECHNOLOGY,58
