,CollegeName,TotalRegistrations
1,SNIS - SREENIDHI INSTITUTE OF SCI AND TECHNOLOGY,116
2,VJEC - V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,83
3,ANUG - ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),68
4,GCTC - GEETHANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),49
5,MRCE - MALLA REDDY COLLEGE OF ENGINEERING,35
6,KGRH - KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),32
7,STLW - STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),30
8,MGIT - MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,30
9,GRRR - GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,27
10,JNTH - JNTU COLLEGE OF ENGG HYDERABAD,27
11,BVRI - B V RAJU INSTITUTE OF TECHNOLOGY,26
12,NNRG - NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS,21
13,SPEC - ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),19
14,NREC - NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),19
15,BITN - BALAJI INSTITUTE OF TECHNOLOGY AND SCI,18
16,VAGE - VAAGDEVI COLLEGE OF ENGINEERING,15
17,VJIT - VIDYAJYOTHI INSTITUTE OF TECHNOLOGY,11
18,MECS - MATRUSRI ENGINEERING COLLEGE,10
19,VMEG - VARDHAMAN COLLEGE OF ENGINEERING,9
20,VIT - VELLORE INSTITUTE OF TECHNOLOGY,9
21,IITT - INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY,8
22,College,6
23,GLWC - GOKARAJU LAILAVATHI WOMENS ENGINEERING COLLEGE,6
24,VGNT - VIGNAN INSTITUTE OF TECHNOLOGY AND SCI,6
25,GNTW - G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,6
26,BVRW - BVRIT COLLEGE OF ENGINEERING FOR WOMEN,6
27,VMTW - VIGNANS INST OF MANAGEMENT AND TECH FOR WOMEN,5
28,OUCE - OSMANIA UNIVERSITY COLLEGE OF ENGINEERING,5
29,MLRS - MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),4
30,JBIT - J B INSTITUTE OF ENGG AND TECHNOLOGY,4
31,GCTC - GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),4
32,MRTN - ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),3
33,SRHP - SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE),3
34,SMSK - SAMSKRUTHI COLLEGE OF ENGG AND TECHNOLOGY,3
35,BREW - BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,3
36,VBIT - VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),2
37,MVGR COLLEGE OF ENGINEERING,2
38,GITAM HYDERABAD,2
39,MLID - M L R INSTITUTE OF TECHNOLOGY,2
40,JNTHMT - JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,2
41,INDI - SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY,2
42,MLRD - MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),2
43,VGWL - VAGDEVI ENGINEERING COLLEGE,2
44,GNIT - GURUNANAK INST OF TECHNOLOGY,1
45,GEETHANJALI COLLEGE OF ENGINEERING AND TECHNOLOGY,1
46,GLWC - GOKARAJU LAILAVATHI ENGINEERING COLLEGE,1
47,AMRITA VISHWA VIDHYAPEETHAM,1
48,ANRK - ANURAG ENGINEERING COLLGE,1
49,ACEG - A C E ENGINEERING COLLEGE (AUTONOMOUS),1
50,GITAM - GITAM UNIVERSITY,1
